id,title,description,image,method_of_making,animation,perceptual_realism,tags,link
ex-001,Hold Me Longer,Placeholder — replace with your real metadata.,media/ex-001.png,3D,Static,High,Position; Size; Shape,https://www.behance.net/gallery/134157179/Data-Doodles-2021
ex-002,Air Transformed,Placeholder — replace with your real metadata.,media/ex-002.png,Graphic Design / Illustration,Static,Intermediate,Surface; Simple Materials,https://www.stefanieposavec.com/airtransformed
ex-003,Percentage of Catholics,Placeholder — replace with your real metadata.,media/ex-003.png,Photo of Physicalization,Dynamic,Indistinguishable from Reality,Camera; Environment,https://www.instagram.com/p/C0_sIkCNd8H/?img_index=2
ex-004,Noway Norway,,media/ex-004.png,,,,,https://www.behance.net/gallery/87757735/Chit-Chart?tracking_source=search_projects_featured_date%7Cinfographic#
ex-005,Garbage Dumps in the Ocean Type,,media/ex-005.png,,,,,https://scicom-lab.com/project/explore-the-ocean
ex-006,Exporting Italian Men's Fashion,,media/ex-006.png,,,,,https://infogra.ru/infographics/infografika-adriana-atta
ex-007,Rising Sea Levels,,media/ex-007.png,,,,,https://www.behance.net/gallery/118410403/Rising-Sea-Levels-a-DataViz-Collaboration
ex-008,Nantes Metropole,,media/ex-008.png,,,,,http://rokovoko.fr/realisations/la-cantine
ex-009,Municipal Expense,,media/ex-009.png,,,,,https://www.behance.net/gallery/3565949/Municipal-expense
ex-010,Carbon Dioxide Savings,,media/ex-010.png,,,,,https://www.visualcapitalist.com/emissions-change-fortune-500/
ex-011,Prosperity of Korean Medicine,,media/ex-011.png,,,,,https://www.behance.net/gallery/165205971/Korean-Medicine-Blooms?tracking_source=search_projects|data+visualization&l=61
ex-012,Who Owns Helium,,media/ex-012.png,,,,,https://www.voronoiapp.com/natural-resources/Who-Owns-Helium-6913
ex-013,Handmade Visualization Toolkit,,media/ex-013.png,,,,,https://dataphys.org/list/jose-duartes-handmade-visualization-toolkit/
ex-014,The World’s Largest Merchant Marine Fleets,,media/ex-014.png,,,,,https://www.voronoiapp.com/economy/The-Worlds-Largest-Merchant-Marine-Fleets--6770
ex-015,Pandemic and Creativity Report,,media/ex-015.png,,,,,https://www.behance.net/gallery/109802031/Data-Illustrations-WePresent-Ideas-Report-2020
ex-016,Countries with Highest Amount of Vegetarians,,media/ex-016.png,,,,,https://www.behance.net/gallery/82653729/Information-Design
ex-017,Average Salary in Ibero-American Territories,,media/ex-017.png,,,,,https://www.instagram.com/p/CpJ3LzujLAZ/
ex-018,Life & Death,,media/ex-018.png,,,,,https://blog.chloesilver.ca/2015/03/photorealistic-infographics.html
ex-019,Largest Labor Forces by Country,,media/ex-019.png,,,,,https://www.voronoiapp.com/work/Ranked-Largest-Labor-Forces-by-Country-6912
ex-020,Materialism,,media/ex-020.png,,,,,https://dataphys.org/list/materialism/
ex-021,Coral Reefs,,media/ex-021.png,,,,,https://dataphys.org/list/coral-reefs/
ex-022,Dino Dinner,,media/ex-022.png,,,,,https://chitchart.com/tags/dinner
ex-023,Dog Poo Picked Up per Month,,media/ex-023.png,,,,,https://www.instagram.com/p/CB8thO2FaJX/
ex-024,Forest in Peace,,media/ex-024.png,,,,,https://chitchart.com/tags/deforestation
ex-025,Cucumbers and Melons,,media/ex-025.png,,,,,https://www.adsoftheworld.com/campaigns/cucumbers-and-melons
ex-026,Child Level of Difficulty,,media/ex-026.png,,,,,https://www.instagram.com/p/C0gl7clNltU/
ex-027,Global Tree Cover Loss,,media/ex-027.png,,,,,https://www.behance.net/gallery/82653729/Information-Design
ex-028,Your Phone Materials,,media/ex-028.png,,,,,https://www.behance.net/gallery/14087701/Your-phone
ex-029,Which Economies Rely on International Trade,,media/ex-029.png,,,,,https://www.voronoiapp.com/trade/Which-Economies-Rely-on-International-Trade-the-Most--6958
ex-030,Garbage Dumps in the Ocean Size,,media/ex-030.png,,,,,https://scicom-lab.com/project/explore-the-ocean
ex-031,The Cost of Wind,,media/ex-031.png,,,,,https://www.voronoiapp.com/energy/The-cost-of-wind-visualized-3275
ex-032,Haptics of wonder,,media/ex-032.png,,,,,https://taica.co.jp/gel/collection/haptics/en/
ex-033,State of the World as Population Pyramids,,media/ex-033.png,,,,,https://www.designboom.com/art/mathieu-lehanneur-state-world-population-aluminum-sculptures-art-basel-design-miami-09-26-2021/
ex-034,Company Value in the Stock Exchange,,media/ex-034.png,,,,,https://www.behance.net/gallery/29565285/Guebretas-Annual-Report-2014
ex-035,Map of Corn Production Using Candy Corn,,media/ex-035.png,,,,,https://dataphys.org/list/corn-production/
ex-036,Digital Pots,,media/ex-036.png,,,,,http://www.keep-art.co.uk/digitial_sound.html
ex-037,Listening Cups,,media/ex-037.png,,,,,https://www.timeatihanyi.com/listeningcups
ex-038,Automating Sustainability for the Venice Biennale,,media/ex-038.png,,,,,https://www.heyhush.com/work/37-automating-sustainability-for-the-venice-biennale
ex-039,Time is Running Out 2,,media/ex-039.png,,,,,https://www.realworldvisuals.com/rwv-projects/time-is-running-out
ex-040,Blaue Blumen: Handcrafted Offline Data Visualization of Population Density,,media/ex-040.png,,,,,https://dataphys.org/list/blaue-blumen-handcrafted-offline-data-visualization-of-population-density/
ex-041,Visualizing Costco’s Global Presence,,media/ex-041.png,,,,,https://www.voronoiapp.com/business/Visualizing-Costcos-Global-Presence-150
ex-042,Sea Risers,,media/ex-042.png,,,,,https://www.jillhubley.com/project/searisers/
